pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age
14.336311,0.1544363533044189,0.0,1166.0,0.04828,5485.0,0.913,8.5
13.56289,0.5323914016805512,0.0,1650.0,0.04,6034.0,0.86,6.0
2.6,2.2679936482244267,0.0,618.0,0.227,6050.0,0.982,7.94
2.41,1.4701758451005928,0.0,871.0,0.0367,4227.0,0.679,6.7
3.05,1.0473189942805592,0.0,448.0,0.3877,5825.0,1.03,4.27
2.33,1.2864740258376797,0.0,503.0,0.11452,4685.0,0.75,4.07
1.64,1.6389967146756448,0.0240379999999999,533.316,0.0774,4079.0,0.65,5.247000000000001
15.984,0.3220834991691133,0.049,1652.0,0.0452,6330.0,1.259,2.0
1.504,1.8931119634883424,0.0749,1478.0,0.01705,4687.0,0.727,6.3
2.359,1.275362800412609,0.0558999999999999,699.21,0.102,5601.0,0.825,7.650999999999999
2.18,1.3506671834767394,0.0,579.0,0.127,5160.0,0.8060000000000002,13.2
14.78464554,0.0582689081239757,0.081,1250.0,0.0668,6080.0,1.018,6.8
11.197791,0.5405785819153385,0.002,825.0,0.0344,4143.0,0.577,7.0
2.562,2.4849066497880004,0.0,713.83,0.07994,5030.0,0.8500000000000001,2.7
2.93,1.0784095813505905,0.138,1046.469,0.0777,5845.0,0.89,8.6
5.14,0.6601073264817452,0.0,833.0,0.0732,5520.0,0.94,4.47
1.26,1.9242486522741336,0.0,892.0,0.092,5983.0,0.9559999999999998,3.55
2.57,1.1969481893889715,0.0,886.0,0.0699,5528.0,0.8800000000000001,3.446
5.03,0.674473915294324,0.131,635.0,0.08432,3998.0,0.724,0.016
2.93295657,1.0784095813505905,0.0,486.0,0.1399,4859.0,0.7809999999999999,2.14
2.25,1.3190856114264409,0.0,712.0,0.16848,5809.0,1.05,8.13
2.89,1.091923300517313,0.0,743.0,0.19852,6112.0,1.19,4.27
14.0,0.3569748989477302,0.05724,641.7180000000001,0.154121003,5466.0,0.99,1.6
1.03,1.860974538249528,0.0,994.0,0.068,5774.0,0.8500000000000001,1.01
1.97,1.449269160281279,0.0,517.0,0.124,5018.0,0.777,2.29
1.47,1.8779371654691075,0.0,2188.0,0.01685,5708.0,0.91,10.6
3.38,0.9631743177730056,0.0,417.0,0.281,5797.0,0.8539999999999999,1.9
13.0,1.366091653802371,0.534773,137.25,2.34,5549.0,0.63,6.878
1.19,2.3978952727983707,0.0,785.0,0.14247,6001.0,0.858,11.48
1.18,1.9300710850255671,0.0,1085.0,0.06,6012.0,0.976,9.12
2.98385261,1.0647107369924282,0.0,655.0,0.35905,5941.54,1.09,4.7
1.07,1.8809906029559973,0.0,652.0,0.039,4486.0,0.593,2.95
2.27,1.3110318766193438,0.0,736.0,0.15336,6092.0,1.11,3.31
1.011,1.851599469584072,0.0,987.0,0.0636,5721.0,0.954,6.228
14.24,0.2546422183735807,0.0,1315.0,0.0272,5000.0,0.87,0.4
1.96,1.4539530095937054,0.0,784.0,0.073,5274.0,0.8110000000000002,13.9
14.437192,0.5766133643039938,0.115,1862.0,0.0453,6280.0,1.2729999999999997,3.37
1.41,1.7984040119467235,0.0,1238.0,0.0453,5660.0,0.95,4.57
3.28,0.9858167945227652,0.224,654.061,0.0879999999999999,5078.0,0.8500000000000001,9.4
2.004,1.235471471385307,0.0,1552.0,0.04888,6354.0,1.204,2.0
13.45,0.3148107398400335,0.0,1285.0,0.0453,5540.0,1.06,8.0
10.13291855,0.7466879474879752,0.157,399.96,0.249,5096.0,0.8489999999999999,3.99
9.41,0.0861776962410523,0.0079,666.0,0.1685,4970.0,1.1,0.02
13.4,0.8586616190375187,0.04,357.12,1.6599999999999997,5027.0,1.3,12.0
1.71,1.578978704949392,0.0,1024.0,0.0543,5536.0,0.89,1.55
1.09,2.1162555148025524,0.0,568.0,0.0252,3384.0,0.313,7.1
1.5,1.7334238922150915,0.0,1050.0,0.04487,5307.0,0.87,7.59
13.56289,1.091923300517313,0.0,1540.0,0.0469,5900.0,1.25,5.0
1.46,1.7613002617433464,0.0,931.0,0.102,6090.0,1.072,1.4
1.65,1.631199404215613,0.0,1167.0,0.05744,5477.0,0.9200000000000002,4.27
3.49,1.2947271675944,0.061,752.0,0.1322,5784.0,0.996,3.1
0.99,2.5572273113676265,0.105686,488.0,0.024335855,3440.0,0.2919999999999999,4.627
2.9,1.0885619528146082,0.0,522.0,0.2836,5722.0,0.97,4.17
2.48,3.091042453358316,0.0,986.0,0.0674,5718.0,1.0,2.69
2.47,1.2325602611778486,0.13587,527.0,0.05006,3551.0,0.4529999999999999,7.5
13.2,1.1600209167967532,0.2,445.2,1.13,5426.0,1.02,11.0
13.3,1.0296194171811583,0.498,892.0049999999999,0.102,4995.0,1.32,4.2
13.1,1.297463147413275,0.3595,659.01,3.29,5549.0,0.9200000000000002,7.784999999999999
2.28,1.308332819650179,0.0,325.0,0.37594,5227.0,0.87,3.63
4.51,0.7466879474879752,0.07,939.3,0.03784,3840.6,0.571,4.684599999999999
1.32,1.871802176901592,0.0,1546.0,0.028,5774.0,0.95,7.59
3.19,1.007957920399979,0.0,1025.0,0.066,6021.0,1.021,5.8
16.8135,0.1655144384775733,0.581,1659.0,0.0611,6438.0,1.415,2.3
2.63,1.175573329804238,0.0,612.0,0.1336,5261.0,0.8400000000000001,4.68
4.19,0.4574248470388754,0.012,582.0,0.195,5663.0,0.961,8.5
10.5140239,0.3060130291365043,0.03,1486.0,0.04988,5710.0,1.23,4.2
14.72860064,0.2942795114120782,0.0,1342.0,0.0558,6096.0,1.071,3.05
1.74,1.5769147207285403,0.0,1336.0,0.0677,5904.0,1.291,4.27
3.11976057,1.4609379041156565,0.0,1212.45,0.04726,5908.0,1.0844000000000005,1.3
1.33,1.8625285401162623,0.0,990.0,0.053,5526.0,0.891,2.0
1.85,1.5129270120532563,0.0,926.0,0.0894999999999999,5713.0,1.02,7.08
1.982,1.3666568001995072,0.0,805.0,0.0706,5075.0,0.8489999999999999,0.7
2.95,1.075002423028976,0.0,454.0,0.303,5690.0,0.933,8.91
2.13,1.3762440252663892,0.02,398.0,0.247,4956.0,0.77,4.5
2.37,1.269760544863939,0.0,574.0,0.1407799999999999,5522.0,0.9200000000000002,3.55
1.41,1.7984040119467235,0.0,1181.0,0.04317,5763.0,1.07,1.45
2.21898,1.33500106673234,0.0857999999999999,1344.51,0.05381019,6086.0,0.851969,5.138
0.68,1.6601310267496183,0.0,1019.0,0.04278,5101.0,0.83,4.9
3.5,2.3683728335320486,0.0,496.0,0.24067,5656.0,0.8500000000000001,0.62
10.592505,0.3784364357202451,0.519,1295.7,0.03211,5137.0,0.8920000000000001,8.0
9.2,0.3632532592988549,0.123,408.5220000000001,0.2674,4952.0,0.8200000000000001,4.33
1.48,1.7457155307266483,0.0,706.0,0.181,6089.0,1.079,5.01
13.78707,0.3674170404706345,0.02,1502.0,0.047,6000.0,1.46,3.0
7.72,0.4388998841944018,0.2394999999999999,664.792,4.0,5549.0,1.06,5.0
1.73,1.5810384379124025,0.0,612.0,0.1126,4992.0,0.75,5.13
4.3,0.0953101798043248,0.0,512.0,0.307,6248.0,0.8270000000000001,3.02
0.95,1.269760544863939,0.0,649.0,0.16063,5858.0,1.0,4.83
2.52202066,0.7975071958841881,0.00338,459.0,0.1108,3678.0,0.51,0.0201
1.68,1.6114359150967734,0.0,808.0,0.0975,5964.0,1.07,3.55
2.63,1.175573329804238,0.0,755.0,0.127,5835.0,0.97,0.28
4.43,0.76080582903376,0.31,376.5,0.25,5599.0,0.8400000000000001,4.4
1.44,1.776645831418007,0.0,1128.0,0.0473,5833.0,1.02,3.98
1.2,1.9387416595767009,0.251,313.9,2.07,5549.0,0.49,9.3445
1.71,2.4069451083182885,0.25,1486.0,0.05119,6182.0,1.277,3.16
13.7,0.5732368838873878,0.23,421.996,1.73,4836.0,0.6000000000000001,1.4
11.09689089,0.6151856390902335,0.044,378.0,0.1525,3926.0,0.632,7.1
2.76,0.9677554115744038,0.0,576.0,0.1209099999999999,5090.0,0.8270000000000001,4.37
1.57,1.6845453849209058,0.0,1374.0,0.0621,6176.0,1.17,3.24
12.520453,1.0462658082959004,0.575,974.0,0.1207,5788.0,1.026,5.7
18.887165,0.3177261938001576,0.057,2193.0,0.03032,6594.0,1.435,0.51
2.83,1.1118575154181305,0.029,1026.0,0.0785,5977.0,1.06,4.391
2.58,1.1939224684724346,0.0,935.0,0.096,6250.0,1.1140000000000003,5.25
1.26,1.9242486522741336,0.0,954.0,0.048,5123.0,0.867,1.55
1.52,1.717395053939193,0.0,899.0,0.0734,5842.0,1.0,3.63
1.059,1.8578592709325787,0.0,1216.0,0.102,3247.0,0.269,2.817
1.52,1.717395053939193,0.0,1111.0,0.06428,6098.0,1.1,3.39
4.87,0.6931471805599453,0.1557,480.0100000000001,0.102,3665.0,0.6000000000000001,0.0185
1.33,1.8625285401162623,0.0,901.0,0.124,6189.0,1.256,2.82
1.49,1.7404661748405044,0.0,981.0,0.0471,5121.0,0.79,5.5
1.54,1.7047480922384253,0.0,1757.0,0.01186,5063.0,0.78,5.13
0.692,1.6695918352538477,0.0186,807.2,0.102,4991.0,0.78,6.106
13.7,0.6221880916194514,0.17,785.29,1.11,5020.0,1.37,9.0
10.4,0.316998126785834,0.135482,700.047,0.102,5549.0,0.1699999999999999,6.4917
1.39,1.8115620965242347,0.004876,587.0,0.02279,3326.0,0.297,5.32
3.11856756,1.0260415958332745,0.0,924.0,0.0519,5351.0,0.89,0.7
1.3,1.88706964903238,0.0,1109.0,0.07317,5475.0,0.9300000000000002,11.75
1.51852059,1.7191887763932197,0.0,818.0,0.1209,6214.0,1.169,1.717
