pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS
Kepler-752 b,Kepler-752,2.81,1.118414915964289,0.0,632.0,0.1353,5373.0,0.87,4.07,0.3628835714579032
Kepler-753 b,Kepler-753,1.91,1.4816045409242156,0.0,641.0,0.054,4346.0,0.6800000000000002,3.63,0.4326380856825859
Kepler-754 b,Kepler-754,2.01,1.430311246536665,0.0,758.0,0.116,5935.0,1.06,3.8,0.3978130872171906
Kepler-755 b,Kepler-755,1.76,1.5644405465033646,0.0,1331.0,0.02156,5043.0,0.8200000000000001,4.9,0.3724150604951234
Kepler-755 c,Kepler-755,1.26,1.9242486522741336,0.0,1016.0,0.037,5043.0,0.8200000000000001,4.9,0.44276947282332346
Kepler-756 b,Kepler-756,1.12,1.9035989509835904,0.0,1741.0,0.0219,5282.0,0.8200000000000001,4.47,0.41782533353803825
Kepler-757 b,Kepler-757,1.36,1.8389610707123487,0.0,1734.0,0.019,6014.0,1.08,3.31,0.4132985879177829
Kepler-758 b,Kepler-758,2.48,1.229640551074514,0.0,1005.0,0.10754,6228.0,1.16,3.8,0.30881409833372875
Kepler-758 c,Kepler-758,1.69,1.6054298910365616,0.0,1372.0,0.05768,6228.0,1.16,3.8,0.37704685913235025
Kepler-758 d,Kepler-758,2.12,1.3762440252663892,0.0,843.0,0.1527,6228.0,1.16,3.8,0.3681945229149771
Kepler-758 e,Kepler-758,1.53,1.7119945007591926,0.0,1144.0,0.0829,6228.0,1.16,3.8,0.405625589233475
Kepler-759 b,Kepler-759,2.27,1.3110318766193438,0.0,533.0,0.2329,5860.0,1.04,3.89,0.42965837758609293
Kepler-76 b,Kepler-76,15.24424,0.7419373447293773,0.0,2140.0,0.0274,6409.0,1.2,0.62,0.18554082672704458
Kepler-760 b,Kepler-760,3.06,1.043804052173115,0.0,748.0,0.08087,5322.0,0.89,4.57,0.3256675057268741
Kepler-760 c,Kepler-760,1.48,1.7457155307266483,0.0,1139.0,0.03489,5322.0,0.89,4.57,0.4160066688233147
Kepler-761 b,Kepler-761,2.03,1.420695787837223,0.0,767.0,0.0874,5706.0,0.95,4.07,0.3982000307730985
Kepler-762 b,Kepler-762,12.68,1.269760544863939,0.0,1302.0,0.0493,5944.0,1.06,3.8,0.2238272132169111
Kepler-763 b,Kepler-763,1.22,1.9444805562457188,0.0,1414.0,0.0205,5166.0,0.8400000000000001,4.79,0.42134436605841874
Kepler-763 c,Kepler-763,1.42,1.790091412127358,0.0,938.0,0.0466,4999.0,0.8,2.1,0.4409269537332095
Kepler-763 d,Kepler-763,1.67,1.6193882432872684,0.0,804.0,0.0634,4999.0,0.8,2.1,0.4346602805519441
