pl_name,hostname,pl_rade,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_lum,st_mass,st_age,pl_bmasse,pl_dens,pl_insol,pl_orbper,st_rad
PH1 b,PH1,6.18,0.0702,481.0,0.6520000000000001,6407.0,0.66,1.528,2.0,5.135798437050262,1.269760544863939,3.052398337205955,4.93675191210489,1.0057657383017578
PH2 b,PH2,9.33708092,0.215,295.1,0.833,5734.0,-0.05849,0.966,4.1,4.478302070287072,0.4574248470388754,0.7884573603642702,5.647301784051148,0.6673164205254237
POTS-1 b,POTS-1,10.548,0.02853,1163.855,0.03734,4400.0,-1.0869,0.6950000000000001,7.444000000000001,6.600088162597273,1.4906543764441333,5.557380192712098,1.4256664089753444,0.46247536282494395
PSR B1257+12 c,PSR B1257+12,1.91,0.0186,519.1,0.36,5549.0,-0.07632,1.4,3.0,1.667706820558076,1.47932922708708,2.5873081929977224,4.212748146039382,0.668536814587228
PSR B1257+12 d,PSR B1257+12,1.8,0.0264,463.9,0.4600000000000001,5549.0,-0.07632,1.4,3.0,1.589235205116581,1.541159071680806,2.9423865863988206,4.597252927042943,0.668536814587228
PSR J2322-2650 b,PSR J2322-2650,13.9,0.0017,1801.0,0.0102,5549.0,-0.07632,1.4,2.47,5.535928030700058,1.0438040521731147,7.590135553346859,0.27987467161060664,0.668536814587228
Pr0201 b,Pr0201,14.2,0.0,1313.02,0.06,6174.0,0.24469,1.2400000000000002,0.976,5.151140148849461,0.2844267797311083,6.087737709191868,1.6912759306497327,0.7654678421395714
Pr0211 b,Pr0211,13.4,0.011,1369.519,0.03176,5300.0,-0.33603,0.9350000000000002,0.578,6.394460609630173,0.8586616190375187,5.971906817485471,1.146163590526332,0.6026752773958697
Qatar-1 b,Qatar-1,12.811887,0.0,1418.0,0.02332,5013.0,-0.43771,0.8379999999999999,1.19,6.02168337420364,0.7304429653036423,5.94889101954892,0.8837775401185954,0.5894519442211803
Qatar-10 b,Qatar-10,17.295487,0.0,1955.0,0.0286,6124.0,0.29951,1.156,3.2,5.459257290071765,0.22154226994723591,7.505206205220581,0.9727924190052065,0.8127064156175845
Qatar-2 b,Qatar-2,14.056,0.0,1344.0,0.02153,4645.0,-0.6832,0.7429999999999999,5.0,6.676623657820743,0.945072533299607,6.470688831437942,0.8489178917132532,0.5743636445699783
Qatar-3 b,Qatar-3,12.285064,0.0,1681.0,0.03783,6007.0,0.27875,1.145,0.31,7.223184294803463,1.6094379124341003,7.193685818395112,1.255023383260474,0.820660500858905
Qatar-4 b,Qatar-4,12.722215,0.0,1385.0,0.02803,5215.0,-0.31785,0.8960000000000001,0.17,7.570321079646175,1.8082887711792655,6.421622267806518,1.0315305897269003,0.6146449524049877
Qatar-5 b,Qatar-5,12.408363,0.0,1415.0,0.04127,5747.0,0.05614,1.128,0.53,7.225500104340895,1.599387576580599,6.507277712385012,1.3556371701202137,0.7304429653036423
Qatar-6 b,Qatar-6,11.903958,0.0,1006.0,0.0423,5052.0,-0.51428,0.822,1.02,5.362748569427209,0.5259112611840315,5.169924179279637,1.5054531167061795,0.5434864060055391
Qatar-7 b,Qatar-7,19.0553,0.0,2053.0,0.0352,6387.0,0.56348,1.4090000000000005,1.69,6.394460609630173,0.406797553341943,7.968074386872452,1.1092376391689969,0.9415685390584236
Qatar-8 b,Qatar-8,14.403565,0.0,1457.0,0.0474,5738.0,0.22789,1.029,8.3,4.778408363517725,0.19556678354397528,6.549862450866305,1.5507383115753226,0.8394096875381973
Qatar-9 b,Qatar-9,11.309881,0.0,1134.0,0.0234,4309.0,-0.82102,0.719,7.5,5.938110446506709,0.8878912573524571,5.3550237337858695,0.9324518349009194,0.5282725373697112
Ross 128 b,Ross 128,1.11,0.116,301.0,0.0496,3192.0,-2.44129,0.168,5.0,0.8754687373538999,1.891604804197771,0.8671004876833832,2.385620241922758,0.1795677685973336
Ross 176 b,Ross 176,1.84,0.25,682.0,0.0464,4041.0,-1.10891,0.577,3.0,1.7173950539391927,1.6154199841116479,3.616308761279101,1.792864491798999,0.4504384737508955
Ross 508 b,Ross 508,1.83,0.33,312.29,0.05366,3071.0,-2.44503,0.1773999999999999,6.072000000000001,1.6094379124341003,1.5238800240724537,1.0698574711290958,2.4655539212721855,0.19169416304061945
SWEEPS-11 b,SWEEPS-11,12.666,0.0130099999999999,1735.997,0.03,5549.0,-0.07632,1.1,5.2262200000000005,8.033924367221118,2.234306252240751,7.414946093136733,1.0281898243715637,0.8960880245566356
SWEEPS-4 b,SWEEPS-4,9.079,0.0613,1125.848,0.055,5549.0,-0.07632,1.2400000000000002,5.016399999999999,7.097300680865411,2.28949985344539,5.6273966492933205,1.6486586255873816,0.7793248768009976
TAP 26 b,TAP 26,13.5,0.18646,1010.737,0.0968,4620.0,-0.25,1.04,0.017,6.270227840224336,0.7793248768009976,5.0629695658008265,2.4672517145492794,0.7747271675523681
TCP J05074264+2447555 b,TCP J05074264+2447555,4.72,0.30776,883.5799999999999,0.94,5805.0,0.31745,0.586,10.052,3.044522437723423,0.7178397931503169,4.400874452807984,2.4950335327117,0.8857779147050504
TIC 139270665 b,TIC 139270665,7.22979255,0.105,703.0,0.163,5844.0,0.03222,1.035,3.4,4.9982560021333535,1.1410330045520618,3.720862499966987,3.2037215770965233,0.7011153502091222
TIC 139270665 c,TIC 139270665,12.9,0.566,200.0,2.0,5844.0,0.03222,1.035,3.4,7.34934715883017,1.6054298910365616,0.1906203596086497,6.918695219020472,0.7011153502091222
TIC 172900988 b,TIC 172900988 Aa,11.25,0.0271,567.38,0.90281,6050.0,0.67103,1.2383999999999995,3.1,6.849066282633458,1.534714366238164,3.293080606904639,5.305551139609915,0.8688636383017642
